
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:3E:5D:FB:28:16, 2019-03-25 19:23:18, 2019-03-25 19:25:47,  6, 195, WPA2 WPA, CCMP TKIP, PSK,   0,     1126,     1092,   0.  0.  0.  0,   6, fb2812, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A4:F1:E8:9E:68:C1, 2019-03-25 19:24:31, 2019-03-25 19:24:33,  -1,        9, 08:3E:5D:FB:28:16,
AC:18:26:91:D3:9C, 2019-03-25 19:24:49, 2019-03-25 19:25:46, -78,      211, 08:3E:5D:FB:28:16,
44:61:32:EF:D4:03, 2019-03-25 19:23:50, 2019-03-25 19:25:45, -78,      656, 08:3E:5D:FB:28:16,fb2812
F0:45:DA:3E:F9:B4, 2019-03-25 19:23:18, 2019-03-25 19:25:40, -80,      238, 08:3E:5D:FB:28:16,
F0:45:DA:27:B3:87, 2019-03-25 19:24:55, 2019-03-25 19:25:40, -80,      126, 08:3E:5D:FB:28:16,
74:E1:82:37:1A:3E, 2019-03-25 19:24:51, 2019-03-25 19:25:27, -78,       38, 08:3E:5D:FB:28:16,
68:9A:87:15:9D:B2, 2019-03-25 19:24:01, 2019-03-25 19:25:39, -74,       56, 08:3E:5D:FB:28:16,
5C:41:5A:5E:3C:39, 2019-03-25 19:23:22, 2019-03-25 19:25:41, -64,       68, 08:3E:5D:FB:28:16,
5C:52:1E:97:C4:F2, 2019-03-25 19:23:50, 2019-03-25 19:24:50,  -1,        2, 08:3E:5D:FB:28:16,
F4:84:4C:43:03:ED, 2019-03-25 19:24:51, 2019-03-25 19:25:40,  -1,      109, 08:3E:5D:FB:28:16,

